Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Store_Age
0,156,249.8092,3735.138,4,0.016047301,9.3,9,0,1,1,21
1,8,48.2692,443.4228,14,0.019278216,5.92,3,2,1,2,11
0,662,141.618,2097.27,10,0.016760075,17.5,9,0,1,1,21
1,1121,182.095,732.38,6,0.0,19.2,0,2,1,0,22
0,1297,53.8614,994.7052,9,0.0,8.93,1,2,0,1,33
1,758,51.4008,556.6088,0,0.0,10.395,3,2,1,2,11
1,696,57.6588,343.5528,13,0.012741088999999999,13.65,1,2,0,1,33
0,738,107.7622,4022.7636,13,0.127469857,12.792854228644991,5,2,1,3,35
1,440,96.9726,1076.5986,5,0.016687114,16.2,7,1,1,1,18
1,990,187.8214,4710.535,5,0.09444959,19.2,2,1,1,1,13
0,1171,45.5402,1516.0266,6,0.0,11.8,9,0,1,1,21
1,147,144.1102,2187.153,4,0.045463773,18.5,8,0,2,1,23
1,1142,145.4786,1589.2646,6,0.1000135,15.1,9,0,1,1,21
1,904,119.6782,2145.2076,13,0.047257328,17.6,8,0,2,1,23
0,375,196.4426,1977.4260000000002,6,0.06802430000000001,16.35,1,2,0,1,33
1,767,56.3614,1547.3192,2,0.06908896099999999,9.0,8,0,2,1,23
0,1280,115.3492,1621.8888,8,0.008596051,11.8,3,2,1,2,11
1,767,54.3614,718.3982,2,0.06919637599999999,9.0,9,0,1,1,21
0,79,113.2834,2303.6679999999997,7,0.034237682,12.792854228644991,5,2,1,3,35
0,968,230.5352,2748.4224,4,0.10249212,13.35,6,1,2,1,16
1,666,250.8724,3775.086,13,0.138190277,18.85,1,2,0,1,33
1,1076,144.5444,4064.0432,0,0.035399923,12.792854228644991,5,2,1,3,35
0,1278,196.5084,1587.2672,9,0.025698133999999997,14.6,6,1,2,1,16
0,259,107.6938,214.3876,0,0.057556998,12.792854228644991,4,0,2,0,35
1,843,165.021,4078.025,5,0.025896485,13.85,8,0,2,1,23
0,1294,45.906000000000006,838.908,9,0.099887103,13.0,2,1,1,1,13
1,1024,42.3112,1065.28,13,0.06669343700000001,7.645,6,1,2,1,16
0,101,39.1164,308.9312,7,0.019356131999999998,11.65,1,2,0,1,33
1,350,45.5086,178.4344,4,0.161466534,5.925,0,2,1,0,22
1,244,43.6454,125.8362,3,0.072221801,12.792854228644991,4,0,2,0,35
0,1048,55.7956,163.7868,4,0.17034855100000001,19.25,0,2,1,0,22
0,1480,96.4436,2741.7644,8,0.080829372,18.6,3,2,1,2,11
0,756,256.6672,3068.0064,13,0.0,18.7,3,2,1,2,11
0,706,93.1436,2174.5028,1,0.0,17.85,7,1,1,1,18
0,64,174.8738,2085.2856,14,0.097904029,17.5,8,0,2,1,23
0,1533,146.7102,3791.0652,8,0.08929113699999999,10.0,9,0,1,1,21
1,1032,128.0678,2797.6916,6,0.059511812000000004,12.792854228644991,5,2,1,3,35
1,143,122.5388,1609.9044,14,0.113123893,8.85,3,2,1,2,11
1,1124,36.9874,388.1614,13,0.12311145300000001,12.792854228644991,5,2,1,3,35
0,214,87.6198,2180.495,13,0.026480953999999998,12.792854228644991,5,2,1,3,35
0,968,230.6352,3435.528,4,0.102511504,13.35,8,0,2,1,23
0,567,126.00200000000001,2150.534,10,0.02681843,9.8,1,2,0,1,33
0,180,192.9136,2527.3768,13,0.117818348,13.6,9,0,1,1,21
0,236,259.9278,6768.5228,3,0.06910283099999999,21.35,3,2,1,2,11
1,611,126.5046,373.5138,3,0.042277867000000004,12.15,1,2,0,1,33
0,641,178.1002,358.2004,4,0.08949892599999999,6.42,0,2,1,0,22
0,1438,153.3024,2428.8384,8,0.0,19.6,7,1,1,1,18
0,1057,265.2226,5815.0972,3,0.025879577,10.0,7,1,1,1,18
1,586,60.622,2576.646,0,0.121632721,15.85,8,0,2,1,23
1,869,196.8794,780.3176,4,0.25539489600000004,12.792854228644991,4,0,2,0,35
0,1378,143.8812,3134.5864,8,0.067779712,7.39,8,0,2,1,23
0,642,141.5154,850.8924,5,0.159803853,10.195,1,2,0,1,33
1,830,117.0492,810.9444,3,0.028696932,9.895,1,2,0,1,33
0,177,196.3794,3121.2704,6,0.065041581,10.895,2,1,1,1,13
0,1442,151.4708,4815.0656,9,0.028760012999999997,12.15,2,1,1,1,13
0,553,249.0408,6258.52,13,0.010053105,7.905,3,2,1,2,11
0,1538,106.1622,2117.244,9,0.048157338,9.195,7,1,1,1,18
0,107,38.0506,796.9626,7,0.071958197,8.365,9,0,1,1,21
0,1183,194.511,4910.275,13,0.17348130399999998,15.1,8,0,2,1,23
0,485,180.0344,892.172,3,0.061082177,12.792854228644991,4,0,2,0,35
0,629,246.9144,3185.1872,6,0.0,10.0,3,2,1,2,11
1,1039,87.3514,1062.6168,10,0.040071131,7.97,7,1,1,1,18
0,361,38.2848,484.7024,6,0.012090074,12.792854228644991,5,2,1,3,35
1,1199,51.0692,147.8076,5,0.15028599,12.792854228644991,4,0,2,0,35
0,1202,255.8356,2543.356,13,0.026015518999999997,12.792854228644991,5,2,1,3,35
0,266,185.4266,184.4266,13,0.195068226,17.7,0,2,1,0,22
0,441,172.5738,4865.6664,10,0.033082215,19.35,6,1,2,1,16
1,1218,186.024,1118.5439999999999,4,0.078946455,13.65,7,1,1,1,18
0,72,164.8526,2302.3364,14,0.041700756,17.6,7,1,1,1,18
0,1343,95.84100000000001,2027.361,8,0.14342264300000002,8.645,8,0,2,1,23
1,541,170.1764,3435.528,13,0.10529607199999999,15.6,8,0,2,1,23
1,586,59.222,599.22,0,0.121531501,15.85,1,2,0,1,33
0,453,164.7526,4604.6728,15,0.0,18.25,7,1,1,1,18
0,394,189.6188,2285.0256,3,0.011324862,7.855,2,1,1,1,13
0,1552,254.3698,5580.7356,9,0.186357148,7.825,9,0,1,1,21
1,254,114.0176,2290.3520000000003,5,0.024205661,8.39,8,0,2,1,23
0,781,172.3422,1207.0954,13,0.033230816,12.85,9,0,1,1,21
0,682,89.9804,643.1628,0,0.113720344,12.792854228644991,4,0,2,0,35
0,582,104.9622,1587.933,5,0.11255650699999999,19.0,2,1,1,1,13
0,1037,222.5456,5305.0944,3,0.0,5.905,7,1,1,1,18
0,316,101.87,1697.79,13,0.05935224099999999,7.76,8,0,2,1,23
1,656,180.3344,1427.4752,5,0.014087057,11.8,8,0,2,1,23
0,1053,187.9556,4693.89,13,0.045230944,16.75,3,2,1,2,11
0,1379,194.6136,583.2408,9,0.293417759,12.792854228644991,4,0,2,0,35
1,829,171.3764,3091.9752,0,0.031382044,12.792854228644991,5,2,1,3,35
1,404,177.0028,2479.4392,6,0.12639886,15.5,2,1,1,1,13
0,1258,160.99200000000002,2716.4640000000004,6,0.025403897999999998,6.055,6,1,2,1,16
1,811,155.963,3285.723,2,0.039057677,12.792854228644991,5,2,1,3,35
1,674,95.6436,661.8052,13,0.123115764,6.305,8,0,2,1,23
0,670,117.2808,1523.3504,10,0.039624006,20.85,9,0,1,1,21
0,1082,122.17299999999999,369.519,6,0.040421193,20.75,0,2,1,0,22
0,57,39.9138,690.4346,4,0.10527411099999999,8.895,9,0,1,1,21
0,82,55.1614,1381.535,14,0.033970195,19.6,7,1,1,1,18
0,178,57.893,622.523,6,0.053212652,19.7,6,1,2,1,16
0,1468,114.5492,1274.3412,8,0.024378706,9.8,6,1,2,1,16
0,970,120.0414,487.3656,5,0.009714595,12.792854228644991,4,0,2,0,35
0,382,246.046,1231.73,5,0.131383762,12.15,9,0,1,1,21
1,231,187.4556,3755.112,6,0.07461309,8.75,6,1,2,1,16
0,1442,149.9708,4363.6532,9,0.028459761,12.792854228644991,5,2,1,3,35
1,231,187.8556,1314.2892,6,0.07462720099999999,8.75,8,0,2,1,23
0,940,151.0708,1805.6496,5,0.063695084,13.3,7,1,1,1,18
1,284,178.5344,2854.9504,13,0.045797829000000005,12.792854228644991,5,2,1,3,35
1,1113,179.1028,3896.2616,13,0.11585722300000001,8.31,9,0,1,1,21
1,7,38.7822,667.7974,14,0.024832806000000002,16.75,1,2,0,1,33
0,737,212.0902,3185.853,13,0.034027909,19.75,3,2,1,2,11
1,438,141.1838,2247.7408,3,0.046769599999999995,17.1,1,2,0,1,33
1,181,163.121,1794.3310000000001,0,0.11657670199999999,10.5,1,2,0,1,33
1,400,121.3098,2530.7058,0,0.0,6.635,7,1,1,1,18
0,36,225.372,679.1160000000001,14,0.278974075,12.792854228644991,4,0,2,0,35
0,111,41.4138,812.2760000000001,14,0.035913805,14.15,1,2,0,1,33
0,279,232.53,699.09,4,0.079806266,13.3,8,0,2,1,23
0,910,102.4016,2732.4432,5,0.005505481,8.89,2,1,1,1,13
1,1099,176.937,176.437,10,0.064625342,12.792854228644991,4,0,2,0,35
0,1144,121.7098,4097.3332,13,0.071636937,12.792854228644991,5,2,1,3,35
1,1025,173.2054,3151.8972,1,0.0,9.1,7,1,1,1,18
0,288,239.0906,5942.265,5,0.032677677999999995,7.5,9,0,1,1,21
1,1228,192.4478,4843.695,5,0.160760054,16.85,2,1,1,1,13
0,1251,109.0228,2542.0244,13,0.06911065,7.485,6,1,2,1,16
